Name,City,Catégorie,VulcaTour-step,Vulca-tour,Link of the Logo,Location,Latitude,Longitude,Country,List of Events
Fablab Hornafjordur,Hornafjordur,,02.08,VT02,https://drive.google.com/uc?id=1nLg9O_BLMlzHDL-IqrugKlJPYWKqHDYv,"Hornafjörður, Islande",64.24970260,-15.20200770,Iceland,
Fablab Ísafjördur,Ísafjördur,,02.07,VT02,https://drive.google.com/uc?id=1b6MlAdc-q9h_bKSvfhkr85z-C6H397OO,"Torfsnesi, Skutulsfjarðarbraut, 400 Ísafjörður, Islande",66.06809110,-23.15428730,Iceland,
Fablab Reykjavik,Reykjavik,,02.10,VT02,https://drive.google.com/uc?id=12ciFZk72F-LOZ8K4fiJ9HsvcJejgkOO5,"Austurberg 5, 111 Reykjavík, Islande",64.10586340,-21.81780850,Iceland,
Fablab Vestmannaeyjar,Vestmannaeyjar,,02.09,VT02,https://drive.google.com/uc?id=1kRuEl4JUosZumKk9hDCawlNcIRtblRIp,"Dalavegi 2, Vestmannaeyjar, Islande",63.44064320,-20.29418350,Iceland,
Fablab Hr,Zagreb,,"11.12,04.07","VT11,VT04",https://drive.google.com/uc?id=1sgITH-G0Gte6ChtoOoPeFtwmosIkmiVr,"Ilica 69, 10000, Zagreb, Croatie",45.81253700,15.96523890,Croatia,
Radiona Makerspace,Zagreb,,11.11,VT11,https://drive.google.com/uc?id=1AnxZLZWNCFP0t-SkjKoeJ8bSuLMoFSVj,"Nova cesta 186, 10000, Zagreb, Croatie",45.79321600,15.95511710,Croatia,
Fablab Rijeka,Rijeka,,11.39,VT11,,"Ilica 6910000, Zagreb, Croatie
",45.81448330,15.93770890,Croatia,
LabOs,Osijek,,11.16,VT11,https://drive.google.com/uc?id=1KxUxu6UBY7DPcSA30DYAHItCUssdJf6Y,"Dom Tehnike, Trg Jurja Križanića 1, 31000, Osijek, Croatie",45.56114220,18.69439180,Croatia,
Mach Lab,Dugo Selo ,,11.10,VT11,https://drive.google.com/uc?id=1JUM6l9UP2rg1MdA883Y05GTyww2Clwmi,"Ul. Josipa Zorića 17, 10370, Dugo Selo, Croatie",45.80583830,16.23540360,Croatia,
Fablab Riga,Riga,,02.12,VT02,https://drive.google.com/uc?id=1PHCnbHFN3dbqYTm0Jv4h1hmzqVglKPiF,"Lāčplēša iela 52/54, Latgales priekšpilsēta, Rīga, LV-1011, Lettonie",56.95192910,24.12949480,Lettonia,
Nava C2,Timisaora,,15.14,VT15,https://drive.google.com/uc?id=1vp2xQmM_Tk9ZhIHMx8Z89OGUM1gkVAyw,"Bulevardul Regele Carol I Nr. 9, Timișoara 300180, Roumanie",45.74507536,21.21233764,Romania,
FOR,Timisaora,,15.12,VT15,https://drive.google.com/uc?id=1d7x7tIaBSdqSV2btXozNNzy2KFe8CHPB,"Splaiul Peneș Curcanul 4-5, Timișoara 300124, Roumanie",45.76060020,21.24872050,Romania,
Plan Zero,Timisaora,,15.13,VT15,https://drive.google.com/uc?id=1efEp6nBCOm4bb-woNQIClxZ8zuIoHHcp,"Lazaretní 1, 615 00 Brno-Židenice, Tchéquie",49.20475440,16.63655890,Romania,
Praksa Makerspace,Belgrade,,11.19,VT11,https://drive.google.com/uc?id=1pqLAJHLCCd8wpAGu-RzaUG0VLN_C1hRw,"Kraljevića Marka 18, Beograd 113405, Serbie",44.81425170,20.45488540,Serbia,
Garage Lab,Belgrade,,11.20,VT11,https://drive.google.com/uc?id=1ZBYFt2r5rK7P8DR_fhA7GV2ExcFtNZkg,"Kralja Milana 10, Beograd 11000, Serbie",44.81045180,20.46217020,Serbia,
Makers Serbia,Novi Sad,,"11.17,04.06","VT04,VT11",https://drive.google.com/uc?id=1xc9BjhCt5wQKW53MDGOdheT9YuUkiTJZ,Karađorđeva 27 Šabac Serbia,44.75586330,19.69710050,Serbia,
Ideal Lab,Novi Sad,,11.18,VT11,https://drive.google.com/uc?id=1Nbz3LS2xOitJFUJSAmjeB5BF4874C3p1,"Dr Zorana Đinđića 1, Novi Sad 21000, Serbie",45.24733500,19.85413860,Serbia,
Pionir,Kikinda,,15.11,VT15,https://drive.google.com/uc?id=1IXIXaOdqW5gj_WamkjHM0gRfSNGosol8,Generala Drapšina 138,45.73264826,20.65997866,Serbia,
Polyhedra,Beograd,,"06.05,04.05","VT04,VT06",https://drive.google.com/uc?id=19SbxFTKEero9Qqk59W2P32qMk5IN-x0_,"Dojranska 16, Belgrade, 11000, Serbia",44.79543580,20.49489710,Serbia,
Meta Lab ,Vienna ,,11.07,VT11,https://drive.google.com/uc?id=1pZ0FKOVNdDClOozAh6wFtoNIYCuOJc46,"Verein Metalab, Rathausstraße 6, 1010 Wien, Austria",48.20949260,16.35620610,Austria,
HappyLab Vienna,Vienna ,,06.09,VT06,https://drive.google.com/uc?id=1wyQslwCd53ryGM7RLFioKWi-qcS4i3xd,"Haussteinstraße 4, 1020 Wien, Autriche",48.22808230,16.40016610,Austria,
OLGA,Graz,,??,,https://drive.google.com/uc?id=1KbiD3tIiTq7t5hJCqGd0qGbS3ytHPeGE,"Brockmanngasse 15, 8010 Graz, Autriche",47.06552680,15.45058110,Austria,
realraum3,Graz,,11.08,VT11,https://drive.google.com/uc?id=1LmUvx4OHVDOiCk7fDTioWyhteaaIdoEf,"Brockmanngasse 8-20, 8010 Graz, Autriche",47.06628140,15.45047290,Austria,
Smart Fablab,Sofia,,"11.21,04.04","VT04,VT11",https://drive.google.com/uc?id=17cq7wPORAZ3LNkNsa0rpvmna1Qh6vdRs,"pl Dragan Tsankov 6, 1164 g.k. Lozenets, Sofia, Bulgarie",42.68417970,23.33233430,Bulgaria,
InitLab (Vencislav Atanasov),Sofia,,11.22,VT11,https://drive.google.com/uc?id=1_yKYJXAv8tSBdKU31xkyHgbPpwtVSc_Q,"ul. ""Rila"" 6, fl. 2, 1202 Orlandovtsi, Sofia, Bulgarie",42.70770840,23.32524740,Bulgaria,
Institute 404,Ljubljana,,11.40,VT11,https://drive.google.com/uc?id=1RkPRlU7ULoQcEZEc6fkDZHWqSnkCFbT5,"Mencingerjeva ulica 7, 1000 Ljubljana, Slovénie",46.04221540,14.49577660,Slovenia,
RogLab,Ljubljana,,"11.41,07.42,06.03,04.09","VT04,VT06,VT07,VT11",https://drive.google.com/uc?id=1F_irfh63gnTCiN7VNxEYRsGsw74BhjLy,"Petkovškovo nabrežje 67, 1000 Ljubljana, Slovénie",46.05103410,14.51651270,Slovenia,
Poligon Creative Center,Ljubljana,,"11.42,07.43,06.04,04.10","VT11,VT07,VT06,VT04",https://drive.google.com/uc?id=1GDuQBYkYpjYx5N_n0UTU-VaBZFD9R73b,"Tobačna ulica 5, 1000 Ljubljana, Slovénie",46.04877470,14.49340600,Slovenia,
kretaor lab,Maribor,,"04.08,11.09","VT04,VT11",https://drive.google.com/uc?id=1hS6VmWxftQc0vCxfVqelvOmNRnw6_d8a,"Preradovičeva ulica 40, 2000 Maribor, Slovénie",46.55600190,15.62581930,Slovenia,
Meškėnų laboratorija (MLab),Vilnius,,02.13,VT02,https://drive.google.com/uc?id=1zHKk1vbmGSOF3uSBVxDZ7t_AwQETVk5q,"Meškėnų labaratorija, Vilnius 10312, Lituanie",54.69445780,25.30699580,Lithuania,
Open Box Studio,Podgorica,,11.38,VT11,https://drive.google.com/uc?id=1CxJi2MKfB-HMyEcbUnA2lcNnf_umjHBn,"47 Beogradska, Podgorica, Monténégro",42.44339610,19.27521460,Montenegro,
Openlabs Tirana,Tirana,,11.34,VT11,https://drive.google.com/uc?id=1jQWPmLxfI6c-SHG2pob3kIPCbDoVIQpY,"Open Labs Hackerspace, Tirana, Albanie",41.32140790,19.82917750,Albanie,
Pepper MINT,Vaduz,,10.12,VT10,https://drive.google.com/uc?id=1qaPF-2-p9td9eyyAlCpCpgev4TggqPio,"Landstrasse 114, 9490 Vaduz, Liechtenstein",47.15420270,9.51078680,Liechtenstein,
Promprylad,ivano frankivsk,,04.03,VT04,https://drive.google.com/uc?id=1z2GKsUYv1jjKit9z0b76b53lgfprfmS3,"м, Akademika Sakharova Street, 23, Ivano-Frankivsk, Ivano-Frankivsk Oblast, Ukraine, 76000",48.91440670,24.71072000,Ukraine,
Robokids,Banja Luka,,11.13,VT11,https://drive.google.com/uc?id=1430GsOknNFFWpLIZ6nLhB8i7qSB8A3Pb,"Banja Luka 78000, Bosnie-Herzégovine",44.77218110,17.19100000,Bosnia and Herzegovina,
Srebrenica Makerspace,Srebrenica,,11.15,VT11,,"Trg Mihajla Bjelakovića bb, Srebrenica 75430, Bosnie-Herzégovine",44.10397620,19.29972180,Bosnia and Herzegovina,
Tuzla Makerspace ,Tuzla,,11.14,VT11,https://drive.google.com/uc?id=1DaiHNxE4JvnHB-8rPN0JAEvSP80r6eaF,"Bosne Srebrene, Tuzla 75000, Bosnie-Herzégovine",44.53630760,18.66095670,Bosnia and Herzegovina,
