Name,City,Catégorie,VulcaTour-step,Vulca-tour,Link of the Logo,Location,Latitude,Longitude,Country,List of Events
Eagle Labs Brighton,Brighton,,09.50,VT09,https://drive.google.com/uc?id=1rzgiTMKJOabNgSHrA925D58WR7cLE1Oa,"1 Preston Rd, Brighton BN1 4QU",50.83374350,-0.13939300,England,
Exploring sense ,Brighton,,09.52,VT09,https://drive.google.com/uc?id=18ujUo4Ez6rP-bKDheaxJNcrF23k5pHqb,"Lewes Rd, Brighton BN1 9PW",50.85941050,-0.09673740,England,
Make Liverpool,Liverpool,,09.32,VT09,https://drive.google.com/uc?id=1MKKXDT901FmCktpPiZhVEOz6Le1YE2ht,"Unit 1, 34 Regent St, Liverpool L3 7BN, United Kingdom",53.41816190,-2.99760000,England,
Fablab Liverpool,Liverpool,,09.33,VT09,https://drive.google.com/uc?id=1__lQ0MM4D5CPu3vojy9rkFg05ME2NzPs,"John Lennon Art and Design Building, Duckinfield St, Liverpool, Merseyside, L3 5YD, United Kingdom",53.40507500,-2.97020570,England,
DoES Liverpool,Liverpool,,09.31,VT09,https://drive.google.com/uc?id=1hquXmkdtAhphVCQVchiC46yBM7Hf5Ewv,"The Tapestry, 68 - 74 Kempston St, Liverpool L3 8HL, United Kingdom",53.41041180,-2.97047870,England,
Fablab Coventry,Coventry,,09.36,VT09,https://drive.google.com/uc?id=1TL5ths7RqQP3ecW2YkYHXy0e3rrHA7yj,"Unit 27, City Centre, City Arcade, Coventry CV1 3HX, United Kingdo",52.40610400,-1.51503640,England,
Fablab Warrington,Warrington,,09.34,VT09,https://drive.google.com/uc?id=1LMGlYhE47PUV5JuZOYQ6hrhQNWhCZnhY,"Beamont Collegiate Academy
Long Lane
Warrington
Cheshire
WA2 8PX",53.40806760,-2.58916720,England,
Hack Oldham ,Oldham,,09.28,VT09,https://drive.google.com/uc?id=1wlxoJYSzFtlMA3J1CHeue2tW3UYwBPqg,"38-44 Yorkshire St, Oldham OL1 1SE, United Kingdom",53.54215520,-2.10911010,England,
Hackerspace Newcastle,Newcastle,,09.23,VT09,https://drive.google.com/uc?id=1gB0kSnCHaOPVegT9sZ4DiyFGMk9RElSC,"Commercial Union House, 39 Pilgrim St, Newcastle upon Tyne NE1 6QE, United Kingdom",54.97366790,-1.61121870,England,
Hacman - Hackspace Manchester,Manchester,,09.30,VT09,https://drive.google.com/uc?id=1d6e1IAftTJCkHyl8K1KgYxyhQ9uGTGQN,"Wellington House, Pollard St E, Manchester M40 7FS, United Kingdom",53.48468360,-2.21394670,England,
Ipswich Makerspace,Ipswich,,09.38,VT09,https://drive.google.com/uc?id=1N9AcsWQQKBRnmcuH6uk8x8YavmsA_PqK,"11 Dove St, Ipswich IP4 1NG, ",52.05621720,1.16470770,England,
Leigh Hackspace,Leigh,,09.35,VT09,https://drive.google.com/uc?id=1FokCdiLgdu4AwmVagpHsCJ1dNu31dznn,"3rd Floor Leigh Spinners Mill, Park Ln, Leigh WN7 2LB, United Kingdom",53.49293840,-2.49358250,England,
Norwich Hackerspace,Norwich,,09.39,VT09,https://drive.google.com/uc?id=1VJQnLCwh0CoBo_hGNYr8ZRmEoI0_hZwg,"20 - 28 Muspole Street, NR3 1DJ",52.63391020,1.29301390,England,
Preston Hackerspace,Preston,,09.26,VT09,https://drive.google.com/uc?id=1wXcrtAEZDCwzLTx22Aa9uk1OmvmRoDPA," 9 Cross St, Preston PR1 3XA, Royaume-Uni",53.75636290,-2.69916780,England,
So Make It,Southampton,,09.48,VT09,https://drive.google.com/uc?id=1yN3aOnQWO0k-UNSIf0vv8RLb6KCH9DOB,"Pitt Rd, Southampton SO15 3FQ",50.91301330,-1.42619970,England,
The Making Room,Blackburn,,09.24,VT09,https://drive.google.com/uc?id=1vtHUGk0c5lmBw8a3yTOynihIhMCNA-un,"1 Exchange St, Ewood, Blackburn BB1 7JN, Royaume-Uni",53.75008200,-2.48440300,England,
Bonevet Gjakova,Gjakova,,11.37,VT11,https://drive.google.com/uc?id=1OY5c7ZXZdL9JlQMFQYayK-ru_RZHKu7D,"Str. ""Vëllezërit Frashëri, Gjakovë 50000",42.38441040,20.42850210,Kosovo,
Prishtina hackerspace,Prishtina,,11.36,VT11,https://drive.google.com/uc?id=1UXtIUKpUdec92UFk7T_iF1PWhs_0bhaf,"Ganimete Terbeshi, No. 2, Prishtinë 10000, Kosovo",42.65617500,21.16959400,Kosovo,
Brugge Fablab,Brugge,,02.04,VT02,https://drive.google.com/uc?id=1Bo2VSOmACTYhOu_VXAPIfAAJj1uV_npl,"Binnenweg 4, Brugge, West- Vlaanderen , 8200, Belgium",51.22598030,3.22581300,Belgium,
Fablab Factory,Aalst,,05.02,VT05,https://drive.google.com/uc?id=1EZB46Qd7REHBQVxHWJm_5baZTTeaMiO3,"Passage Pieter van Aelst 12, 9300 Aalst, Belgique",50.93912100,4.03689290,Belgium,
Fablab Leuven,Leuven,,12.13,VT12,https://drive.google.com/uc?id=1ykfgTb7HdxoxiCD9VW0O0hAeAUrliFvT,"Celestijnenlaan 300, 3001 Leuven, Belgique",50.86070870,4.68060330,Belgium,
Imal,Brussels,,03.17,VT03,https://drive.google.com/uc?id=1qlggpTwCnBr6KPz0SylXD1elNFH-A3Xa,"Quai des Charbonnages 30/34, 1080 Bruxelles",50.85505210,4.34158940,Belgium,
IncubHacker,Namur,,05.05,VT05,https://drive.google.com/uc?id=1woDXyiz_1Fxd_ybtF9_7U5E7TtR_1Ygh,"Boulevard d'Herbatte 14a, 5000 Namur, Belgique",50.46812620,4.87764730,Belgium,
TRAKK Namur,Namur,,"12.15,05.04","VT12,VT05",https://drive.google.com/uc?id=1zMQq73g7zGhMT72AB6hr-k_t7UYkugWN,"Avenue Reine Astrid 16, 5000 Namur, Belgique",50.46213210,4.85697360,Belgium,
RElab,Liege,,"12.02,08.06","VT08,VT12",https://drive.google.com/uc?id=1DLAhc13iI3kIZX0h9nii7Wa-Dy3F-8rG,"Rue Lambert-Lombard 1, 4000 Liège, Belgique",50.64389390,5.57434990,Belgium,
LGHS,Liege,,"08.07,12.03","VT08,VT12",https://drive.google.com/uc?id=1CGNMm2ET_hbFh6YkoDJlZDCI6rKCykIQ,"Quai de la Dérivation 54, 4020 Liège, Belgique",50.64197400,5.58998620,Belgium,
Micro Factory,Anderlecht,,05.03,VT05,https://drive.google.com/uc?id=1voCMITId2EdeEa6bkrD9nQghcJTHotHi,"Quai Fernand Demets 55, 1070 Anderlecht, Belgique",50.84484790,4.32449850,Belgium,
Openfab,Bruxelles,,"15.3,12.14,09.53,08.05,05.01,03.18,02.03","VT02,VT03,VT05,VT08,VT09,VT12,VT15",https://drive.google.com/uc?id=1FVKxeOOkwc2G3s6Oa_zgLF5qgCpBd-UJ,"Rue Gray 158, 1050 Ixelles, Belgique",50.83290320,4.37859790,Belgium,
Ogrenenler ,Istanbul,,11.23,VT11,https://drive.google.com/uc?id=1bpfrnSid__tjRocNZQHSooi1JYssDrd_,"Sinanpaşa, No 8-10, Selamlık Cd., 34353 Beşiktaş, Turkey",41.04436440,29.00597000,Turkey,
 Nalbür Üstu Makerspace,Istanbul,,11.26,VT11,https://drive.google.com/uc?id=1J-fwEkJI7nRRxkvbi2Ld-8MvcoomjnHN,"Şht. Cihan Erkan Sokağı No:11Muratpaşa, 34040 Bayrampaşa/İstanbul, Turquie",41.04515560,28.90948710,Turkey,
Collaboration Space,Istanbul,,11.27,VT11,https://drive.google.com/uc?id=1fgCeAh2ecLi0DG5OEPfolTussjmWXAjR,"Orta, Üniversite Cd. No:27, 34956 Aydınlı - İstanbul Ay Osb/Tuzla/İstanbul, Turquie",40.88193250,29.38079000,Turkey,
InnoCampus,Istanbul,,11.25,VT11,https://drive.google.com/uc?id=17CzRLmgu1vkRdi1LariK8rn_em3o-UPZ,,41.00982767,28.96516461,Turkey,
Copenhagen Fablab,Copenhagen ,,03.10,"VT03,VT06,VT10",https://drive.google.com/uc?id=1dakMMPuY-uVMkGitImTOdSBRlK7Gz9rh,"Valgårdsvej 4, 2500 København, Danemark",55.66115390,12.51840030,Denmark,
Fablab EAL Odense,Odense,,03.09,VT03,https://drive.google.com/uc?id=13zi11Z6XDcXmWHlbYXhmw6orjLQ_DFDL,"Seebladsgade 1, 5000 Odense, Danemark",55.40354430,10.37986120,Denmark,
FabLab Guldborgsund,Guldborgsund,,03.13,VT03,https://drive.google.com/uc?id=1NXbw2kyb3L_yYmFmjzI215_aM99421dE,"Kongensgade 43, 4800 Nykøbing Falster, Danemark",54.76987910,11.86992290,Denmark,
RUC FABLAB ,Roskilde,,03.12,VT03,https://drive.google.com/uc?id=1E1sjRtIDZr3wEjfjviv0WX1vuC8LJBSm,"Universitetsvej 1, Building 4, 4000 Roskilde",55.65320700,12.14078010,Denmark,
SpinderiHallerne,Vejle,,03.08,VT03,https://drive.google.com/uc?id=1mjyruN9xlvDWZmXEGHo4HtRoywHyRtio,"Spinderigade 11E, 7100 Vejle, Danemark",55.71382900,9.53014500,Denmark,
TI Fablab,Taastrup,,03.11,VT03,https://drive.google.com/uc?id=1ecuoOHA-s62mcDg85PbaT26mE-KHtXAb,"Gregersensvej, 2630 Taastrup, Danemark",55.65907400,12.26869420,Denmark,
Creative Point ,Bratislava,,06.08,VT06,https://drive.google.com/uc?id=138ImDxYfPOu1vhpZZY8WEpOmcz665r-_,"Karadžičova, 821 08 Bratislava, Slovaquie",48.15061110,17.12539530,Slovakia,
Fablab Bratislava,Bratislava,,06.07,VT06,https://drive.google.com/uc?id=17Cb2cluvoG-s2bJt7cDzLGEgEuzV1Odz,"Vedecký park UK, Ilkovičova 8, 841 04 Bratislava-Karlova Ves, Slovaquie",48.14932730,17.07374100,Slovakia,
ProgressBar Coworking-Hackerspace,Bratislava,,08.25,VT08,https://drive.google.com/uc?id=1Asl0_WY9kZRxeVLxfwYMS-1w-e5mXebi,"Dunajská 7495/14, 811 08 Bratislava, Slovaquie	",48.14455590,17.11549060,Slovakia,
Cuneo Fablab,Cuneo,,04.12,"VT04,VT08",https://drive.google.com/uc?id=1zKgeXaiIBt7eGU7Ye9cf_U0Lpry4cD6k,"Via XXVIII Aprile, 22, 12100 Cuneo CN, Italie",44.38957920,7.54169430,Italy,
Fablab Bergamo,Bergamo,,11.44,VT11,https://drive.google.com/uc?id=1yKnlrjYH1Ux0tOpfvRpLajlHeGanVli6,"Via Mauro Gavazzeni, 3, 24125 Bergamo BG, Italie",45.68705920,9.67411680,Italy,
FabLab Imperia,Imperia,,07.40,VT07,https://drive.google.com/uc?id=1cVp1DbsYPTpiIqWCKmuLKiekQ3jE7GPn,"Fablab Imperia, Puerto, Via Giacomo Matteotti 31 c/o Centro Aggregativo, 18100 Imperia IM, Italie",43.87848510,8.01628370,Italy,
Fablab MUSE,Trento,,10.15,VT10,https://drive.google.com/uc?id=1UAieXE11rB-eaELzo5y5vU30f4aAFrcc,"Corso del Lavoro e della Scienza 3, Trento, Trentino-Alto Adige/Südtirol, 38122, Italy",46.06257240,11.11460810,Italy,
Fablab Verona,Verona,,"11.43,10.14,07.41","VT07,VT10,VT11",https://drive.google.com/uc?id=1M9ofATEp3vUUguaIZH5xiJjY1p-ybfXY,"Viale del Lavoro, 2, 37023 Grezzana VR, Italie",45.52334360,11.01813270,Italy,
JRC Makerspace,Ispra,,10.13,VT10,https://drive.google.com/uc?id=178XxDLXvrsmvCkraQA4SGZAJuAkGcEaU,"JRC Ispra, 21027 Ispra VA, Italy",45.80392630,8.62968840,Italy,
Officine ZIP - FabLab Padova ,Padova,,04.11,VT04,https://drive.google.com/uc?id=1XmZPO6K1uM4IBk_K83NYLNjDANWefSwV,"Viale dell'Industria, 19, 35129 Padova PD, Italie",45.41168410,11.91760270,Italy,
Fab Lab Ballyshannon,Ballyshannon,,09.10,VT09,https://drive.google.com/uc?id=1qhj03rPUaxI9jl7Kc_0Y_k3HY0whXyOe,"Beal Na Mara, The Mall, Townparks, Ballyshannon, Co. Donegal, F94 XPH0",54.50158770,-8.19354810,Ireland,
FabLab Belfast,Belfast,,09.13,VT09,https://drive.google.com/uc?id=1dvszDIx4PenHWiyUsQRJMnrHLRURFs29,"5 Churchill St, Belfast BT15 2BP, Royaume-Uni",54.61001740,-5.93570130,Ireland,
Farset Labs,Belfast,,09.14,VT09,https://drive.google.com/uc?id=1Jy0xaQwG2oTb48iSHpO-xquIYbockT44,"Weavers Court, Linfield Rd, Belfast BT12 5GH, Royaume-Uni",54.59253080,-5.94060410,Ireland,
Fablab Limerick,Limerick,,09.09,VT09,https://drive.google.com/uc?id=19DiclPndYwU8od-tyBAdX1bkwDmX-DkV,"Rutland St, Limerick",52.66591920,-8.62416360,Ireland,
FABLAB Manorhamilton,Manorhamilton,,09.11,VT09,https://drive.google.com/uc?id=1SEdskVYBU3cn7ryv-x6FepJnl5cJSQgz,"Fawn, Dromahair, Manorhamilton, Leitrim",54.30391730,-8.17495020,Ireland,
Fablab Nerve Centre,LondonDerry,,09.12,VT09,https://drive.google.com/uc?id=1dvszDIx4PenHWiyUsQRJMnrHLRURFs29,"5-6 Magazine St, Londonderry BT48 6HJ, Royaume-Uni
",54.99658510,-7.32258330,Ireland,
Makerspace Dublin,Dublin,,09.04,VT09,,Adrian avenue kimmage,53.31875180,-6.28375080,Ireland,
TOG_Hackerspace,Dublin,,09.05,VT09,https://drive.google.com/uc?id=1q9Ug5oyaLIEJn3s4cEtTl8u9U7NVErg_,"22 Blackpitts, Merchants Quay,",53.33448050,-6.27546940,Ireland,
Tyndall Makerspace (Codo Dojo),Cork,,09.08,VT09,https://drive.google.com/uc?id=1rj_59xsvUvucprfnz0jUjJoXPF3B00dT,"Lee Maltings Complex Dyke Parade, T12",51.89819340,-8.48337970,Ireland,
Fablab Bangor,Bangor,,09.19,VT09,https://drive.google.com/uc?id=17uSnDiFjktlNAh1NATVZNpaeOxd2N4Kg,"University, Pontio, Deiniol Rd, Bangor LL57 2TQ, Royaume-Uni",53.22750360,-4.12970270,Wales,
Fablab Cardiff,Cardiff,,09.21,VT09,https://drive.google.com/uc?id=1DFjmfmej3DO7Z7JEm15n80WgAZk1VjEc,"Llandaff Campus, 200 Western Ave, Cardiff CF5 2YB, Royaume-Uni",51.49551040,-3.21145870,Wales,
Newport Makerspace,Newport,,09.22,VT09,,,51.58790207,-2.99674153,Wales,
Swansea Hackerspace ,Swansea,,09.20,VT09,https://drive.google.com/uc?id=1CCBYg8SRTPKb16IR5iuRSVhpYAyhjeb6,"21, 22 Park St, Swansea SA1 3DJ, Royaume-Uni",51.62021650,-3.94613930,Wales,
Fablab Budapest,Budapest,,06.06,VT06,https://drive.google.com/uc?id=1so8iPVZ2fKfvU_rpmS3uF4jGi9dlSOi1," Budapest, Eötvös u. 29, 1067 Hongrie",47.50785170,19.06237400,Hungaria,
Hackerspace.gr,,,11.28,VT11,https://drive.google.com/uc?id=1yKYKLRiG9GGMAHFIx5dQgrsrlT8QpkEO,"Ampatielou 11, Athina 111 44, Grèce",38.01694570,23.73126730,Greece,October Maker 2021
Fablab Decode,Athens,,11.29,VT11,https://drive.google.com/uc?id=1_R2fpeOTSP4UouqlYBt9CZ-DQeQ8OCYs,"Vasilissis Sofias 129, Athens 115 21, Grèce",37.97658930,23.74835830,Greece,
Fablab ioannina,ioannina,,11.31,VT11,https://drive.google.com/uc?id=1U02pA3vRWUpuCDvIYkO-9Me6mSicTtH6,"Archiepiskopou Makariou 11, Ioannina 452 21, Grèce",39.61733930,20.89563860,Greece,
Tzoumakers ,ioannina,,11.32,VT11,,,39.49052800,20.97736100,Greece,
Habibi.Works,ioannina,,11.30,VT11,https://drive.google.com/uc?id=1_AvI12Zk6jS0j9pZKU_GN9wrTuy9z0ky,"2o klm E.O. KATSIKA - KOUTSELIO, ENANTI PALAIOU AERODROMIOU, Katsikas 452 21, Grèce",39.58843590,20.91335880,Greece,
P2P Lab,ioannina,,11.33,VT11,https://drive.google.com/uc?id=1h0YGo0Sj5FoKNhOe3YeghR6kCTQc4KKL,"Papadopoulou 5, Ioannina 454 44, Grèce",39.66713610,20.85339910,Greece,
Fablab Fribourg,Fribourg,,02.17,VT02,https://drive.google.com/uc?id=18u_-XLnVOFCVR1sGnmhx9gwKxFdpdCNF," Passage du Cardinal, 1700 Fribourg, Suisse",46.79852280,7.14839580,Switzerland,
Fablab Luzern,Luzern,,06.11,VT06,https://drive.google.com/uc?id=1Z2i0xIUoTyNeAU-Wx9wcuV_KAw-aMh2M,"Technikumstrasse 21, 6048 Horw, Suisse",47.01407990,8.30542830,Switzerland,
Fablab Neuchâtel,Neuchâtel,,04.01,VT04,https://drive.google.com/uc?id=1woIRxpxajDh2dSzmc1EYdxKYp4xwKRVV,"Espace de l'Europe 7, 2000 Neuchâtel, Suisse",46.99751140,6.93840500,Switzerland,
Makerspace Lausanne,Renens,,12.41,VT12,https://drive.google.com/uc?id=17yO8E5jLRMyqvFVSZBnJzWnl_sqMsLHE,"Chemin du Closel 2, 1020 Renens, Switzerland",46.53227270,6.59001570,Switzerland,
Hackuarium,Renens,,06.13,VT06,https://drive.google.com/uc?id=1-xc9Pi6Bkgf2dE3sdTP6PpYILopQgARK,"Route de Crochy 20, 1024 Ecublens, Suisse",46.53538160,6.56923770,Switzerland,
Fablab Renens,Renens,,"12.40,06.12","VT12,VT06",https://drive.google.com/uc?id=1b19fvaVJB-X1302sFjMuFzpSkvYiLmjO,"Chemin du Closel 3, 1020 Renens, Suisse",46.53233730,6.59128140,Switzerland,
FabMobile Switzerland,Nyon,,07.44,VT07,https://drive.google.com/uc?id=1GDuQBYkYpjYx5N_n0UTU-VaBZFD9R73b,"Chemin du Réservoir 14, 1410 Denezy, Suisse",46.72289090,6.78193570,Switzerland,
Onl'Fait,Geneva,,11.46,VT11,https://drive.google.com/uc?id=1NDj8DrnRMjx4cMTiBKh9-_8j_Zq3bgio,"Chemin des Sports 87, 1203 Genève, Suisse",46.20963710,6.11733680,Switzerland,
SDG Solution Fablab,Geneva,,"12.42,11.45,07.46","VT07,VT11,VT12",https://drive.google.com/uc?id=178XxDLXvrsmvCkraQA4SGZAJuAkGcEaU,,,,Switzerland,
Fablab Gdansk,Gdansk,,12.22,VT12,https://drive.google.com/uc?id=1lFgsKT_S303fLAOuYQBpzZl7qKXnsT__,"Dolna Brama 8, 80-821 Gdańsk, Pologne",54.34052720,18.64770320,Poland,
Trojmiasto Hackerspace,Gdansk,,12.23,VT12,https://drive.google.com/uc?id=14K6yEAKQA1y3Tkdungbhe58EoONUYRHl,"aleja Wojska Polskiego 41, 80-277 Gdańsk, Pologne",54.38961930,18.58178000,Poland,
Poklad Makerspace,Lodz,,12.26,VT12,https://drive.google.com/uc?id=1kMD4Vxg1c5ZiehFsg2ZBdn1YtpE2-6uY,"al. Marszałka Józefa Piłsudskiego 135, 92-318 Łódź, Pologne",51.76261460,19.50046560,Poland,
Fablab Lodz,Lodz,,12.25,VT12,https://drive.google.com/uc?id=1tGI_NuvlJrlNZS_RMeyJfa6SBDiZH3V-,"Marszałka Józefa Piłsudskiego 135, 90-001 Łódź, Pologne",51.76261460,19.50046560,Poland,
Fablab Slupsk,Slupsk,,12.21,VT12,https://drive.google.com/uc?id=1AmT9SsQG222uGXTT-KVkXzvLcaVpKZLr,"Stefana Banacha 17, 76-200 Słupsk, Pologne",54.47013350,16.99987340,Poland,
Hackerspace Krakow,Krakow,,12.28,VT12,https://drive.google.com/uc?id=1W0uT5p_exToU2BuWCdkXgz-yHU8rXtWB,"Zacisze 5/P1, 31-156 Kraków, Pologne",50.06606700,19.94333400,Poland,
Wytwornia Krakow MS,Krakow,,12.27,VT12,,,,,Poland,
Nokia Garage Lab,Wrocław,,12.30,VT12,https://drive.google.com/uc?id=1UYPF05jmBz2dexDvoRTHxopL1x2E8-mN,"Szybowcowa 2, 54-130 Wrocław, Poland",51.12586970,16.97818660,Poland,
Pin Workshop,Wrocław,,"12.31,08.23","VT08,VT12",https://drive.google.com/uc?id=1NZ4MkEokjFru_aW3kxwe9yVsRldfYoRn,,,,Poland,
Hackerspace Wrocław,Wrocław,,"12.29,08.22","VT12,VT08",https://drive.google.com/uc?id=1QM-5XsgKM26lZaUMRu03eMe1zZouEWxx ,"Wróblewskiego 40, 51-621 Wrocław, Pologne",51.10459870,17.08693870,Poland,
Pracownia fablab,Bydgoszcz,,"12.24,08.21","VT08,VT12",https://drive.google.com/uc?id=1gf6KTzL-__UNWuYAuLbYRA6vp01h9r7K,"Jezuicka 22, 85-001, Bydgoszcz, Pologne",53.12170370,17.99827730,Poland,
Pralnia Makerspace,Sokołowsk,,"10.09,08.24","VT08,VT10",https://drive.google.com/uc?id=1ICUybCr4IXLVQ8IiOrEEeIks8ZqICiMh,,,,Poland,
Zakład ,Poznan,,"10.08,08.20,02.14","VT02,VT08,VT10",https://drive.google.com/uc?id=1FP71juvt-W9-lOkoFJN4m7fHmox6Zakz,,,,Poland,
